run,seed,checkpoint_generation,recorded_generation,best_fitness,error,converged
13,13,1000,1000,0.007156358638027882,0.007156358638027882,False
13,13,5000,5000,8.775791035020575e-05,8.775791035020575e-05,False
13,13,10000,10000,3.847591364092295e-05,3.847591364092295e-05,False
13,13,50000,50000,2.60393591133834e-07,2.60393591133834e-07,False
13,13,100000,100000,2.574092690110774e-07,2.574092690110774e-07,False
14,14,1,1,103.7571207677514,103.7571207677514,False
14,14,50,50,21.9467771347269,21.9467771347269,False
14,14,100,100,8.159259315104237,8.159259315104237,False
14,14,200,200,2.175557608911035,2.175557608911035,False
14,14,500,500,6.659263215169631e-05,6.659263215169631e-05,False
14,14,1000,1000,6.659263215169631e-05,6.659263215169631e-05,False
14,14,5000,5000,4.428726956007267e-05,4.428726956007267e-05,False
14,14,10000,10000,3.687130345042533e-06,3.687130345042533e-06,False
14,14,50000,50000,9.345272644623037e-08,9.345272644623037e-08,False
14,14,100000,100000,4.523862173755333e-08,4.523862173755333e-08,False
15,15,1,1,108.4723423727459,108.4723423727459,False
15,15,50,50,7.413859839548792,7.413859839548792,False
15,15,100,100,4.338905838646738,4.338905838646738,False
15,15,200,200,0.7942042561222991,0.7942042561222991,False
15,15,500,500,0.0143791388294261,0.0143791388294261,False
15,15,1000,1000,0.004905130271254166,0.004905130271254166,False
15,15,5000,5000,7.014121493398306e-06,7.014121493398306e-06,False
15,15,10000,10000,7.014121493398306e-06,7.014121493398306e-06,False
15,15,50000,50000,1.568558531062081e-06,1.568558531062081e-06,False
15,15,100000,100000,2.019328633195983e-07,2.019328633195983e-07,False
16,16,1,1,108.8006498244132,108.8006498244132,False
16,16,50,50,21.2619607273313,21.2619607273313,False
16,16,100,100,12.10497115333236,12.10497115333236,False
16,16,200,200,7.061242757847452,7.061242757847452,False
16,16,500,500,1.00225501371655,1.00225501371655,False
16,16,1000,1000,0.0038762394247982,0.0038762394247982,False
16,16,5000,5000,9.160517620898645e-05,9.160517620898645e-05,False
16,16,10000,10000,8.106672169105877e-07,8.106672169105877e-07,False
16,16,50000,50000,3.102198320448224e-07,3.102198320448224e-07,False
16,16,100000,100000,2.453896001952671e-07,2.453896001952671e-07,False
17,17,1,1,103.7824023719334,103.7824023719334,False
17,17,50,50,12.49898742243295,12.49898742243295,False
17,17,100,100,8.559254223657646,8.559254223657646,False
17,17,200,200,0.114917358276017,0.114917358276017,False
17,17,500,500,0.01014385038301668,0.01014385038301668,False
17,17,1000,1000,0.006815533750383906,0.006815533750383906,False
17,17,5000,5000,8.529016128022704e-06,8.529016128022704e-06,False
17,17,10000,10000,1.72328610403838e-06,1.72328610403838e-06,False
17,17,50000,50000,8.397391724201952e-07,8.397391724201952e-07,False
17,17,100000,100000,1.752496245899238e-07,1.752496245899238e-07,False
18,18,1,1,113.5075443607,113.5075443607,False
18,18,50,50,24.33488242496814,24.33488242496814,False
18,18,100,100,19.54167451102848,19.54167451102848,False
18,18,200,200,7.625315301435762,7.625315301435762,False
